model,cv_auc_mean,test_auc,test_auprc,test_f1
logistic_regression,0.731812115988931,0.6944830783495596,0.2785999453675934,0.35454545454545455
random_forest,0.713523497959758,0.65205765975569,0.2781710773738368,0.3183183183183183
xgboost,0.7223150063317855,0.6813295813522225,0.28744840295959506,0.08450704225352113
